
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:37, Time:118.19065548148157, Value:42745.24211503167
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:119.25267100663454, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:60, Time:119.25267100663454, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:6, Time:119.54763027981782, Value:100140.10475050042
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:58, Time:120.13668892540066, Value:3483.9484032127643
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:121.43077818127983, Value:94
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:61, Time:121.43077818127983, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:123.0604624483401, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:62, Time:123.0604624483401, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:125.64834164568936, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:63, Time:125.64834164568936, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:10, Time:126.24437665838715, Value:100936.16280306788
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:126.67948931396904, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:64, Time:126.67948931396904, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:131.24468636601225, Value:34
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:131.28878216579008, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:66, Time:131.28878216579008, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:66, Time:131.28878216579008, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:11, Time:131.3213534599351, Value:104792.6591413226
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:131.68768260037567, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:67, Time:131.68768260037567, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:132.28878216579008, Value:35
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:133.25106552216684, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:68, Time:133.25106552216684, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:15, Time:134.1579858183128, Value:101370.79305346817
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:135.47759620489546, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:69, Time:135.47759620489546, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:40, Time:138.13352466395534, Value:51949.680400083365
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:138.6776818122955, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:71, Time:138.6776818122955, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:138.81990469404616, Value:36
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:139.79576675663006, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:72, Time:139.79576675663006, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:41, Time:140.38848673347954, Value:53032.18804785429
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:140.98054385397873, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:73, Time:140.98054385397873, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:66, Time:141.02505195780444, Value:9736.269792014355
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:31, Time:141.5805386694395, Value:77499.1641679969
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:142.12520374213221, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:74, Time:142.12520374213221, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:143.45398973567245, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:75, Time:143.45398973567245, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:69, Time:144.64797594190952, Value:9170.37973701406
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:144.81676797499105, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:76, Time:144.81676797499105, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:16, Time:144.82131349327244, Value:110650.16231640839
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:144.82131349327244, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:57, Time:144.82131349327244, Value:1.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:57, Time:144.82131349327244, Value:31.38124638017753
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:73, Time:146.40946264189026, Value:5428.918787911527
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:63, Time:149.92921029096235, Value:24280.86864527299
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER LOGIN, User:None, Time:151.2037049894726, Value:2
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:151.2037049894726, Value:97
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:77, Time:151.2037049894726, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:152.33029237521416, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:78, Time:152.33029237521416, Value:0.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER LOGIN, User:None, Time:154.4154461161744, Value:22
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE USAGE, User:27, Time:154.51460163674167, Value:96143.53948106358
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:155.4154461161744, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:79, Time:155.4154461161744, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:79, Time:155.4154461161744, Value:1.0
6793aa4a-a277-4a46-a5ab-54f5195944ac, RESOURCE COUNT, User:None, Time:156.4154461161744, Value:37
6793aa4a-a277-4a46-a5ab-54f5195944ac, SYSTEM UTILIZATION, User:None, Time:156.7245685152013, Value:100
6793aa4a-a277-4a46-a5ab-54f5195944ac, SLA BROKEN, User:80, Time:156.7245685152013, Value:0.5
6793aa4a-a277-4a46-a5ab-54f5195944ac, USER WAIT, User:80, Time:156.7245685152013, Value:1.0
